CalibBP,F14C,sigma
775,0.897802,0.00111695
780,0.897914,0.00111709
785,0.896909,0.00100431
790,0.895013,0.00122475
795,0.893121,0.00111112
800,0.8909,0.00121912
805,0.889238,0.00110629
810,0.889902,0.00121775
815,0.891343,0.00110891
820,0.891565,0.00122003
825,0.891122,0.00121942
830,0.889791,0.00132821
835,0.888463,0.00110533
840,0.888463,0.00110533
845,0.889127,0.00110615
850,0.889459,0.00121715
855,0.889681,0.00121745
860,0.890124,0.00121806
865,0.890789,0.00110822
870,0.891787,0.00122033
875,0.892676,0.00111057
880,0.892676,0.00122155
885,0.892676,0.00111057
890,0.892787,0.0012217
895,0.892454,0.00111029
900,0.891232,0.00121958
905,0.889681,0.00121745
910,0.888574,0.00121594
915,0.887579,0.00121458
920,0.886143,0.00132277
925,0.88438,0.0012102
930,0.881522,0.00131587
935,0.878783,0.00120254
940,0.878018,0.00131064
945,0.878236,0.00120179
950,0.878455,0.00131129
955,0.878018,0.00120149
960,0.876598,0.00130852
965,0.874854,0.00119716
970,0.873874,0.00130445
975,0.873222,0.00119493
980,0.872027,0.00130169
985,0.870833,0.00119166
990,0.8704,0.00129927
995,0.870508,0.00119122
1000,0.870292,0.00140728
1005,0.869642,0.0015143
1010,0.86856,0.00151242
1015,0.867695,0.00140308
1020,0.868128,0.00140378
1025,0.869317,0.00129765
1030,0.870508,0.00140763
1035,0.871484,0.00130088
1040,0.87181,0.00130137
1045,0.871376,0.00130072
1050,0.870183,0.00129894
1055,0.86856,0.00129652
1060,0.866616,0.00140133
1065,0.864676,0.00150565
1070,0.863493,0.00150359
1075,0.862741,0.00139507
1080,0.862311,0.00150154
1085,0.861989,0.00139385
1090,0.861667,0.00139333
1095,0.861346,0.00128575
1100,0.861239,0.00139264
1105,0.861346,0.00139281
1110,0.861882,0.00150079
1115,0.862204,0.00150135
1120,0.862097,0.00150116
1125,0.861775,0.0013935
1130,0.861667,0.00150042
1135,0.861775,0.0015006
1140,0.861882,0.00139368
1145,0.861775,0.00128639
1150,0.861131,0.00128543
