CalibBP,F14C,sigma
6890,0.471764,0.00076285
6895,0.471001,0.000703074
6900,0.47065,0.000761048
6905,0.470591,0.000760953
6910,0.470357,0.000819029
6915,0.47024,0.000818825
6920,0.470298,0.000818927
6925,0.470298,0.00076048
6930,0.47024,0.000818825
6935,0.470064,0.000818519
6940,0.469655,0.000817807
6945,0.469187,0.000816992
6950,0.46837,0.00087377
6955,0.467904,0.000872901
6960,0.467729,0.000872575
6965,0.467729,0.000872575
6970,0.467613,0.000930457
6975,0.467438,0.000872032
6980,0.467206,0.000871598
6985,0.467031,0.000871272
6990,0.466857,0.000928952
6995,0.466566,0.000928374
7000,0.46616,0.000927566
7005,0.465406,0.000868241
7010,0.465001,0.000867484
7015,0.464596,0.000924453
7020,0.464191,0.000923648
7025,0.463729,0.000922729
7030,0.463325,0.000921925
7035,0.463037,0.00086382
7040,0.46321,0.000864143
7045,0.46344,0.000806986
7050,0.463383,0.000864466
7055,0.463383,0.000864466
7060,0.463671,0.000865004
7065,0.463671,0.000865004
7070,0.463325,0.000864358
7075,0.463267,0.000864251
7080,0.463498,0.000864681
7085,0.46344,0.000806986
7090,0.463094,0.000806383
7095,0.463325,0.000806785
7100,0.463383,0.00092204
7105,0.463325,0.000979484
7110,0.463383,0.000979606
7115,0.463671,0.000865004
7120,0.464018,0.00086565
7125,0.464307,0.000808494
7130,0.465116,0.000809904
7135,0.465406,0.000810408
7140,0.46529,0.000810207
7145,0.464885,0.000867268
7150,0.464307,0.000923878
7155,0.463498,0.000922269
7160,0.462058,0.000919403
7165,0.460507,0.000973528
7170,0.459191,0.00102778
7175,0.458505,0.00114013
7180,0.457878,0.00113857
7185,0.457593,0.00113787
7190,0.457707,0.00119498
7195,0.457878,0.00125228
7200,0.457992,0.00119573
7205,0.458049,0.00119588
7210,0.458049,0.00108212
7215,0.458106,0.000968451
7220,0.458334,0.000968933
7225,0.458619,0.000912562
7230,0.458619,0.000912562
7235,0.458391,0.000798193
7240,0.458106,0.000797697
7245,0.457707,0.000797002
7250,0.456853,0.000852285
7255,0.455887,0.000850483
7260,0.455093,0.000792451
7265,0.454358,0.00079117
7270,0.453397,0.000789497
7275,0.452495,0.000787926
7280,0.45227,0.000843734
7285,0.452326,0.000900039
7290,0.452213,0.000899815
7295,0.452044,0.000899479
7300,0.452101,0.000843419
7305,0.452044,0.000787142
7310,0.451763,0.000842789
7315,0.451201,0.00084174
7320,0.450471,0.000840379
7325,0.449743,0.00083902
7330,0.449239,0.000838081
7335,0.448792,0.000837247
7340,0.448346,0.000836413
7345,0.448122,0.000780312
7350,0.448457,0.000836622
7355,0.449016,0.000893452
7360,0.449407,0.000894231
7365,0.449463,0.00095018
7370,0.449239,0.000949707
7375,0.448904,0.000948998
7380,0.448792,0.000948762
7385,0.448904,0.00089323
7390,0.449072,0.000893564
7395,0.449351,0.00089412
7400,0.449743,0.00083902
7405,0.449967,0.000783525
7410,0.449687,0.000838916
7415,0.448848,0.000837351
7420,0.447398,0.000834645
7425,0.445619,0.000886694
7430,0.443958,0.000883388
7435,0.442578,0.000825654
7440,0.441863,0.000824319
7445,0.441643,0.000878782
7450,0.441753,0.000879
7455,0.441863,0.000824319
7460,0.441588,0.000823806
7465,0.441148,0.000877798
7470,0.440819,0.000931906
7475,0.440599,0.000876706
7480,0.440161,0.000875833
7485,0.439777,0.00087507
7490,0.439449,0.000874417
7495,0.43923,0.000873981
7500,0.439121,0.000873764
7505,0.438902,0.000873329
7510,0.438193,0.000871917
7515,0.437266,0.000870073
7520,0.436722,0.000868991
7525,0.436451,0.00086845
7530,0.436505,0.000868558
7535,0.436885,0.000869315
7540,0.437648,0.000870832
7545,0.438411,0.000872351
7550,0.438575,0.000872677
7555,0.438247,0.000872025
7560,0.437539,0.000816252
7565,0.436559,0.000760178
7570,0.43542,0.000812299
7575,0.434337,0.000810279
7580,0.433419,0.000862417
7585,0.432664,0.000860915
7590,0.43191,0.000805753
7595,0.431373,0.000751147
7600,0.431319,0.00080465
7605,0.431373,0.00080475
7610,0.43089,0.000803849
7615,0.430193,0.000855999
7620,0.429551,0.000854722
7625,0.429177,0.000747323
7630,0.429124,0.000800554
7635,0.42923,0.000854084
7640,0.429284,0.00090752
7645,0.429337,0.000854296
7650,0.429337,0.000854296
7655,0.429177,0.000800653
7660,0.428696,0.000853021
7665,0.428003,0.000904813
7670,0.427258,0.000956309
7675,0.426514,0.000954644
7680,0.425718,0.000952863
7685,0.42503,0.000898527
7690,0.424395,0.000844463
7695,0.423868,0.000790748
7700,0.423551,0.000842783
7705,0.423287,0.000842258
7710,0.423182,0.000894621
7715,0.423077,0.000841839
7720,0.422971,0.000841629
7725,0.422813,0.000841315
7730,0.422656,0.000841001
7735,0.422498,0.000840687
7740,0.422287,0.00089273
7745,0.422077,0.000892285
7750,0.421972,0.000839641
7755,0.421867,0.000787016
7760,0.421605,0.00083891
7765,0.421342,0.000838388
7770,0.421395,0.000838492
7775,0.421605,0.000786527
7780,0.42171,0.000786723
7785,0.4215,0.000786331
7790,0.420766,0.000784962
7795,0.419772,0.000783107
7800,0.41951,0.000834743
7805,0.41951,0.00078262
7810,0.419719,0.00078301
7815,0.419876,0.000731128
7820,0.419772,0.000783107
7825,0.419563,0.000730582
7830,0.419249,0.000782133
7835,0.418936,0.000781549
7840,0.418363,0.000780479
7845,0.417791,0.000779411
7850,0.417427,0.000830596
7855,0.417167,0.000778248
7860,0.416959,0.000829666
7865,0.416596,0.000828944
7870,0.416026,0.000879493
7875,0.415405,0.000826574
7880,0.414992,0.000877306
7885,0.414785,0.000876869
7890,0.415095,0.000825957
7895,0.415819,0.000724063
7900,0.416544,0.000777086
7905,0.417219,0.000778345
7910,0.417427,0.000778733
7915,0.417271,0.000726591
7920,0.416907,0.000829563
7925,0.416181,0.000879821
7930,0.41525,0.000877852
7935,0.414217,0.00082421
7940,0.413239,0.000822263
7945,0.41293,0.000821649
7950,0.412519,0.000820831
7955,0.412006,0.000870994
7960,0.411391,0.000869694
7965,0.410777,0.000817365
7970,0.410164,0.000765183
7975,0.409653,0.000713327
7980,0.409297,0.000763565
7985,0.408991,0.000762995
7990,0.409144,0.000712439
7995,0.409144,0.000814115
8000,0.408686,0.00091474
8005,0.408279,0.000964538
8010,0.407669,0.00101372
8015,0.40701,0.00106262
8020,0.406403,0.00111149
8025,0.405796,0.00105945
8030,0.405241,0.001058
8035,0.404989,0.00110763
8040,0.404686,0.00115704
8045,0.404283,0.00115588
8050,0.403931,0.00115488
8055,0.40363,0.00115402
8060,0.403378,0.0011533
8065,0.403127,0.00115258
8070,0.402977,0.00115215
8075,0.402877,0.00110185
8080,0.402877,0.00105183
8085,0.403027,0.00100218
8090,0.403529,0.00100343
8095,0.403881,0.0010043
8100,0.403982,0.00100455
8105,0.403881,0.0010043
8110,0.403579,0.00100355
8115,0.403378,0.000902861
8120,0.40378,0.000853605
8125,0.404032,0.000753744
8130,0.403881,0.000753462
8135,0.403479,0.000752712
8140,0.40368,0.000753087
8145,0.404132,0.000753931
8150,0.403982,0.000803843
8155,0.403529,0.000752806
8160,0.402927,0.000801744
8165,0.402175,0.000850211
8170,0.401475,0.000848731
8175,0.400676,0.000847042
8180,0.399779,0.000845146
8185,0.398884,0.000892802
8190,0.398289,0.000891469
8195,0.397843,0.000841053
8200,0.397299,0.000839902
8205,0.396854,0.000838962
8210,0.396459,0.000838126
8215,0.396064,0.000788089
8220,0.395818,0.000836771
8225,0.39567,0.000836459
8230,0.395719,0.000836563
8235,0.395768,0.0007875
8240,0.395916,0.000787794
8245,0.396163,0.000739063
8250,0.396113,0.000738971
8255,0.396015,0.000689578
8260,0.39636,0.000690179
8265,0.397002,0.000740629
8270,0.397348,0.000741275
8275,0.397299,0.000741182
8280,0.397051,0.000740721
8285,0.396903,0.000789758
8290,0.396705,0.000740076
8295,0.396459,0.000690351
8300,0.396212,0.000739155
8305,0.395916,0.00083698
8310,0.395768,0.0007875
8315,0.395571,0.00073796
8320,0.395227,0.000737317
8325,0.394833,0.000736583
8330,0.394293,0.00068658
8335,0.394097,0.000686238
8340,0.393851,0.000685811
8345,0.393166,0.000684617
8350,0.392628,0.000634885
8355,0.39253,0.000634727
8360,0.392481,0.000634648
8365,0.391944,0.00063378
8370,0.391749,0.00068215
8375,0.391213,0.000681216
8380,0.390483,0.000679945
8385,0.389852,0.00072729
8390,0.389173,0.000726023
8395,0.388592,0.000676652
8400,0.388447,0.000676399
8405,0.38777,0.000675222
8410,0.387143,0.000722237
8415,0.386421,0.000672872
8420,0.385748,0.000671701
8425,0.385268,0.000622985
8430,0.384502,0.000717309
8435,0.384406,0.000764891
8440,0.384406,0.000764891
8445,0.38431,0.000716952
8450,0.383928,0.000716238
8455,0.383259,0.000714991
8460,0.382973,0.000666868
8465,0.38283,0.000619042
8470,0.383068,0.000714635
8475,0.383021,0.000714546
8480,0.382687,0.000713924
8485,0.382306,0.000665707
8490,0.382449,0.00071348
8495,0.382878,0.000714279
8500,0.383211,0.000667283
8505,0.383259,0.000619736
8510,0.383021,0.000714546
8515,0.382782,0.000761661
8520,0.382401,0.000713391
8525,0.382068,0.000665293
8530,0.382401,0.000665873
8535,0.382592,0.000666204
8540,0.381926,0.000665044
8545,0.380834,0.000663143
8550,0.380218,0.000662071
8555,0.379839,0.000661412
8560,0.379697,0.000708347
8565,0.379556,0.000708082
8570,0.37965,0.000708258
8575,0.379697,0.000661165
8580,0.379603,0.000661
8585,0.379367,0.000660589
8590,0.378706,0.000659438
8595,0.37767,0.000610699
8600,0.376872,0.000703076
8605,0.376356,0.000748874
8610,0.375935,0.000748036
8615,0.375935,0.000748036
8620,0.376028,0.000701502
8625,0.376075,0.000654857
8630,0.375748,0.000747663
8635,0.37528,0.000746733
8640,0.374673,0.000698974
8645,0.374114,0.000697931
8650,0.373695,0.000697149
8655,0.373463,0.000743117
8660,0.373277,0.000696368
8665,0.373137,0.000649742
8670,0.373416,0.000696629
8675,0.373742,0.000743672
8680,0.373835,0.000743857
8685,0.373742,0.000697236
8690,0.373788,0.000650875
8695,0.373742,0.000650794
8700,0.37337,0.000650146
8705,0.373184,0.000603444
8710,0.373184,0.000603444
8715,0.373184,0.000603444
8720,0.372905,0.000695675
8725,0.37258,0.000741361
8730,0.372349,0.000694637
8735,0.372441,0.000648529
8740,0.37258,0.000695069
8745,0.372627,0.000741453
8750,0.372534,0.000694983
8755,0.372395,0.000694723
8760,0.372395,0.000694723
8765,0.37221,0.000694377
8770,0.371978,0.000693945
8775,0.371423,0.000692909
8780,0.370868,0.000691875
8785,0.37073,0.000737679
8790,0.370499,0.000783247
8795,0.370222,0.000782662
8800,0.370038,0.000736303
8805,0.370084,0.000736394
8810,0.369992,0.000782175
8815,0.369762,0.000689811
8820,0.369532,0.000643463
8825,0.369946,0.000644184
8830,0.370637,0.000737495
8835,0.371192,0.000692478
8840,0.371515,0.000693082
8845,0.371561,0.000646997
8850,0.371376,0.000692823
8855,0.371284,0.000738782
8860,0.371053,0.000738322
8865,0.370499,0.000691186
8870,0.370038,0.000644345
8875,0.369762,0.000597911
8880,0.370084,0.000644425
8885,0.370637,0.000691445
8890,0.370822,0.000691789
8895,0.370637,0.000691445
8900,0.370269,0.000690756
8905,0.370176,0.000690584
8910,0.370269,0.000644746
8915,0.370545,0.000645228
8920,0.370914,0.000738046
8925,0.371192,0.000784711
8930,0.371145,0.000784613
8935,0.370914,0.000738046
8940,0.370961,0.000738138
8945,0.371053,0.000738322
8950,0.370961,0.000692047
8955,0.37073,0.000599476
8960,0.370684,0.000599401
8965,0.370868,0.0005997
8970,0.37073,0.000691617
8975,0.370315,0.000690842
8980,0.369624,0.000689554
8985,0.36921,0.000734655
8990,0.368705,0.000733649
8995,0.367925,0.000686385
9000,0.366873,0.00059324
9005,0.366599,0.000638357
9010,0.36546,0.000590955
9015,0.364688,0.000635028
9020,0.364234,0.000634238
9025,0.3636,0.000587946
9030,0.362876,0.000631874
9035,0.361929,0.000630224
9040,0.361749,0.000674862
9045,0.361794,0.000719898
9050,0.362154,0.000720615
9055,0.362425,0.000721153
9060,0.36247,0.000676208
9065,0.362605,0.00067646
9070,0.362605,0.000721513
9075,0.36247,0.000766273
9080,0.362335,0.000720974
9085,0.362199,0.000675703
9090,0.361704,0.000719718
9095,0.361254,0.000673939
9100,0.361344,0.000674106
9105,0.361524,0.000674442
9110,0.361569,0.000674526
9115,0.361524,0.000629518
9120,0.361434,0.000674274
9125,0.361029,0.000673519
9130,0.360221,0.000672012
9135,0.359594,0.000626158
9140,0.359236,0.000625534
9145,0.358878,0.000624912
9150,0.35861,0.000758113
9155,0.358521,0.000846987
9160,0.358521,0.00089151
9165,0.358655,0.000936376
9170,0.358878,0.000892398
9175,0.359236,0.000893287
9180,0.359459,0.000849204
9185,0.359549,0.000894066
9190,0.359549,0.000849415
9195,0.359504,0.00084931
9200,0.359414,0.000849098
9205,0.359236,0.000848675
9210,0.359101,0.000848359
9215,0.359101,0.000892954
9220,0.359236,0.000937893
9225,0.359414,0.000982983
9230,0.359459,0.000983105
9235,0.35937,0.00098286
9240,0.359191,0.00102696
9245,0.359012,0.00102645
9250,0.358744,0.00102568
9255,0.358432,0.00102479
9260,0.358164,0.000979562
9265,0.357941,0.000934513
9270,0.357674,0.000889403
9275,0.357407,0.000844355
9280,0.35714,0.000799368
9285,0.356829,0.000798671
9290,0.356518,0.000797976
9295,0.356207,0.000753034
9300,0.355809,0.000752191
9305,0.355454,0.000795595
9310,0.355189,0.000839116
9315,0.354968,0.000882675
9320,0.354791,0.000838176
9325,0.354571,0.000793617
9330,0.354262,0.000748921
9335,0.353953,0.000704296
9340,0.354129,0.000704647
9345,0.354571,0.000749574
9350,0.354747,0.000794012
9355,0.354747,0.000749947
9360,0.355145,0.000750788
9365,0.355543,0.00070746
9370,0.355454,0.000707284
9375,0.355233,0.000750975
9380,0.355233,0.0007951
9385,0.355366,0.000795397
9390,0.355454,0.000795595
9395,0.355366,0.000795397
9400,0.354747,0.000749947
9405,0.353997,0.000660401
9410,0.353777,0.000703946
9415,0.353733,0.000703858
9420,0.353513,0.00070342
9425,0.353249,0.000702895
9430,0.352765,0.000745758
9435,0.352195,0.000744552
9440,0.351844,0.000787515
9445,0.351582,0.000830594
9450,0.35145,0.000786633
9455,0.351407,0.000742885
9460,0.351232,0.000698882
9465,0.350838,0.000698099
9470,0.350184,0.000653287
9475,0.349618,0.00069567
9480,0.349183,0.000694804
9485,0.348748,0.00069394
9490,0.348271,0.00069299
9495,0.347795,0.000735249
9500,0.347492,0.000734609
9505,0.347362,0.000691181
9510,0.347405,0.000691267
9515,0.347448,0.000691353
9520,0.347146,0.000690751
9525,0.346541,0.000689548
9530,0.345593,0.000687662
9535,0.344605,0.00064288
9540,0.343535,0.000683566
9545,0.342424,0.000681357
9550,0.341233,0.000678986
9555,0.340512,0.000677551
9560,0.339749,0.000633821
9565,0.339411,0.00063319
9570,0.339454,0.000675445
9575,0.339749,0.000718241
9580,0.339707,0.000718152
9585,0.339496,0.000675529
9590,0.339538,0.000717794
9595,0.339496,0.000717705
9600,0.339242,0.000675025
9605,0.338989,0.000674521
9610,0.338905,0.000716455
9615,0.338862,0.000758458
9620,0.338905,0.000758553
9625,0.33882,0.000716277
9630,0.338609,0.000715831
9635,0.338357,0.000715297
9640,0.338357,0.000673262
9645,0.338525,0.000673598
9650,0.338694,0.000673933
9655,0.338567,0.000715742
9660,0.338399,0.000715386
9665,0.338272,0.000715119
9670,0.338188,0.000756949
9675,0.338062,0.000756666
9680,0.337809,0.000798057
9685,0.337473,0.000797263
9690,0.337221,0.000796668
9695,0.336969,0.000754221
9700,0.336508,0.00071139
9705,0.33609,0.000668752
9710,0.335797,0.000668169
9715,0.335797,0.000668169
9720,0.336048,0.000710416
9725,0.336215,0.00071077
9730,0.336132,0.000710593
9735,0.335839,0.000709974
9740,0.335504,0.000667587
9745,0.335254,0.000667089
9750,0.335212,0.000667006
9755,0.335296,0.000625513
9760,0.335296,0.000625513
9765,0.335171,0.000625279
9770,0.335004,0.00058334
9775,0.334712,0.000624423
9780,0.334587,0.000665762
9785,0.334504,0.000707152
9790,0.33442,0.000790051
9795,0.334337,0.000831374
9800,0.334254,0.000789657
9805,0.334337,0.000831374
9810,0.334379,0.000831477
9815,0.334379,0.000831477
9820,0.334254,0.000748143
9825,0.334212,0.000706536
9830,0.334212,0.00074805
9835,0.334171,0.000706448
9840,0.334212,0.000665016
9845,0.334254,0.000623569
9850,0.334545,0.000624113
9855,0.334629,0.000707416
9860,0.334504,0.000665596
9865,0.33442,0.00066543
9870,0.334171,0.000664933
9875,0.334337,0.000665264
9880,0.334587,0.000665762
9885,0.33442,0.00066543
9890,0.333921,0.000664437
9895,0.33363,0.000663858
9900,0.333547,0.000663693
9905,0.332966,0.000703902
9910,0.332428,0.000702764
9915,0.331973,0.000784269
9920,0.331601,0.000865746
9925,0.331354,0.000906238
9930,0.331148,0.000905674
9935,0.330942,0.000864023
9940,0.330777,0.000863593
9945,0.330653,0.00086327
9950,0.330489,0.000862841
9955,0.330365,0.00073944
9960,0.330201,0.000616008
9965,0.329913,0.000492469
9970,0.329667,0.000492101
9975,0.329585,0.000573904
9980,0.329585,0.000573904
9985,0.330036,0.000615701
9990,0.330571,0.000616698
9995,0.330983,0.00065859
10000,0.331148,0.000617774
10005,0.330942,0.000658508
10010,0.330653,0.000699012
10015,0.330406,0.000575334
10020,0.330365,0.000575263
10025,0.330571,0.000657771
10030,0.330777,0.00065818
10035,0.330777,0.00065818
10040,0.330448,0.000616468
10045,0.329995,0.000533608
10050,0.329995,0.000533608
10055,0.33016,0.000574905
10060,0.330489,0.000575478
10065,0.331106,0.000617697
10070,0.331478,0.00061839
10075,0.33156,0.000659739
10080,0.331601,0.000659821
10085,0.331684,0.000659985
10090,0.331725,0.000618852
10095,0.331767,0.000577703
10100,0.332014,0.000536873
10105,0.332138,0.00057835
10110,0.331973,0.000660561
10115,0.331601,0.000659821
10120,0.330983,0.000576338
10125,0.330818,0.000658262
10130,0.330736,0.000658098
10135,0.33053,0.000616622
10140,0.330489,0.000616545
10145,0.330489,0.000657607
10150,0.330242,0.000698142
10155,0.329749,0.000656135
10160,0.329175,0.00057319
10165,0.32897,0.000654585
10170,0.328724,0.000613253
10175,0.328234,0.000612338
10180,0.327703,0.000611348
10185,0.327254,0.000691827
10190,0.326847,0.000690966
10195,0.326359,0.00064939
10200,0.325751,0.000607706
10205,0.325345,0.00060695
10210,0.325143,0.000606572
10215,0.325062,0.000566028
10220,0.3249,0.000565746
10225,0.324334,0.000605064
10230,0.323568,0.000603634
10235,0.322804,0.000562096
10240,0.322121,0.000560908
10245,0.3214,0.00059959
10250,0.320561,0.000598025
10255,0.320003,0.000596983
10260,0.319724,0.000596463
10265,0.319525,0.000596092
10270,0.319287,0.000595647
10275,0.319048,0.000595202
10280,0.31885,0.000634448
10285,0.318731,0.000673807
10290,0.318612,0.000633974
10295,0.318374,0.000593944
10300,0.317938,0.000593131
10305,0.317464,0.000592246
10310,0.317424,0.000631611
10315,0.31774,0.000711182
10320,0.317938,0.000711625
10325,0.318057,0.000672383
10330,0.318136,0.000633028
10335,0.318215,0.000633186
10340,0.318097,0.000672467
10345,0.317899,0.000672048
10350,0.317899,0.000632555
10355,0.318136,0.00067255
10360,0.318334,0.000712511
10365,0.318374,0.0007126
10370,0.318176,0.000672634
10375,0.317938,0.000672132
10380,0.31782,0.000671881
10385,0.31774,0.000671714
10390,0.317622,0.000671463
10395,0.317503,0.000671212
10400,0.317385,0.000710386
10405,0.317227,0.000670627
10410,0.31695,0.000630668
10415,0.316635,0.000551354
10420,0.316477,0.000629727
10425,0.31632,0.00066871
10430,0.316083,0.000707473
10435,0.315847,0.000706945
10440,0.315494,0.000666964
10445,0.31514,0.000627067
10450,0.31518,0.000587985
10455,0.315572,0.000627926
10460,0.315887,0.000628552
10465,0.316162,0.000668377
10470,0.316438,0.00066896
10475,0.316477,0.000669043
10480,0.316241,0.000668544
10485,0.315965,0.000628709
10490,0.315612,0.000588791
10495,0.315219,0.000588058
10500,0.314866,0.000626521
10505,0.314553,0.000664974
10510,0.3142,0.00066423
10515,0.31377,0.000663321
10520,0.313458,0.000662661
10525,0.313224,0.000623254
10530,0.313263,0.000623331
10535,0.313419,0.000623642
10540,0.313458,0.000623719
10545,0.313419,0.000623642
10550,0.313341,0.000662413
10555,0.313224,0.000623254
10560,0.31299,0.000622788
10565,0.312756,0.000661177
10570,0.312406,0.000660437
10575,0.311901,0.000659369
10580,0.311513,0.000658549
10585,0.311087,0.000657648
10590,0.310506,0.000579267
10595,0.310352,0.000578979
10600,0.310275,0.000617385
10605,0.309966,0.000578258
10610,0.309542,0.000500534
10615,0.309734,0.000577826
10620,0.310082,0.000655523
10625,0.310391,0.000579051
10630,0.310584,0.000579411
10635,0.310816,0.000579844
10640,0.310816,0.000618462
10645,0.310661,0.000579555
10650,0.310352,0.000540414
10655,0.309889,0.000578114
10660,0.30958,0.000616003
10665,0.309388,0.000577179
10670,0.30931,0.000615467
10675,0.309233,0.000615313
10680,0.309118,0.000615084
10685,0.308887,0.000576246
10690,0.308772,0.000614395
10695,0.308541,0.000575601
10700,0.308157,0.000574885
10705,0.307889,0.000650888
10710,0.307621,0.000726739
10715,0.307315,0.000802338
10720,0.307162,0.00091633
10725,0.306971,0.000953857
10730,0.306818,0.000953382
10735,0.306589,0.00102876
10740,0.30636,0.001066
10745,0.306093,0.00106507
10750,0.305864,0.00106427
10755,0.305636,0.000987637
10760,0.30537,0.000910984
10765,0.305142,0.000758776
10770,0.304952,0.000758304
10775,0.304762,0.000719985
10780,0.304686,0.000757643
10785,0.304535,0.000757266
10790,0.304118,0.000718463
10795,0.303702,0.000642035
10800,0.303513,0.000679337
10805,0.303437,0.000679168
10810,0.303362,0.000754349
10815,0.303286,0.000754161
10820,0.303248,0.000678745
10825,0.303211,0.000716319
10830,0.303173,0.00071623
10835,0.303135,0.000603179
10840,0.303211,0.000565656
10845,0.303286,0.00052811
10850,0.303551,0.00052857
10855,0.303891,0.000566925
10860,0.303815,0.000604532
10865,0.303437,0.000566079
10870,0.302947,0.000640439
10875,0.30257,0.000639642
10880,0.302306,0.000563969
10885,0.30208,0.00052601
10890,0.301968,0.000600856
10895,0.301855,0.000600631
10900,0.301817,0.000638052
10905,0.30178,0.000675458
10910,0.301742,0.00071285
10915,0.301742,0.00071285
10920,0.301892,0.00067571
10925,0.302156,0.000638767
10930,0.302344,0.000601604
10935,0.302419,0.000489016
10940,0.302419,0.000489016
10945,0.302645,0.000564601
10950,0.303097,0.000565445
10955,0.303475,0.000603855
10960,0.30374,0.000642115
10965,0.303929,0.000604758
10970,0.304194,0.000605285
10975,0.304383,0.000643476
10980,0.304497,0.000719358
10985,0.304535,0.000757266
10990,0.304421,0.000832578
10995,0.304307,0.000832267
11000,0.304156,0.000756324
11005,0.303891,0.000755665
11010,0.303551,0.000717122
11015,0.303551,0.000717122
11020,0.30374,0.000717569
11025,0.303966,0.000642595
11030,0.304231,0.00060536
11035,0.304573,0.00053035
11040,0.304724,0.000530614
11045,0.304724,0.000530614
11050,0.304686,0.000568409
11055,0.304648,0.00060619
11060,0.304459,0.000567985
11065,0.303891,0.000529163
11070,0.303211,0.000527979
11075,0.302645,0.000526994
11080,0.302381,0.000526535
11085,0.302005,0.000563407
11090,0.30178,0.000562987
11095,0.301629,0.000562706
11100,0.301329,0.000562146
11105,0.300954,0.000598839
11110,0.30073,0.000561028
11115,0.300805,0.000561167
11120,0.300842,0.000598616
11125,0.300692,0.000673024
11130,0.300505,0.000635278
11135,0.300356,0.00056033
11140,0.300169,0.000559981
11145,0.300019,0.000522421
11150,0.299982,0.000559633
11155,0.299944,0.00059683
11160,0.29987,0.000633935
11165,0.299646,0.000633461
11170,0.299348,0.000595642
11175,0.298864,0.000557547
11180,0.298417,0.000519632
11185,0.29812,0.000519115
11190,0.297824,0.000481586
11195,0.297564,0.000555123
11200,0.296935,0.000590842
11205,0.296271,0.00058952
11210,0.295976,0.000625702
11215,0.295571,0.000661561
11220,0.295276,0.000697575
11225,0.294946,0.000696794
11230,0.294579,0.000622749
11235,0.294139,0.000585279
11240,0.293554,0.000620583
11245,0.29297,0.000619348
11250,0.29235,0.000545396
11255,0.291987,0.000472147
11260,0.291805,0.000471853
11265,0.291551,0.000471442
11270,0.290971,0.000506665
11275,0.290645,0.000542214
11280,0.290609,0.000578254
11285,0.290573,0.000650374
11290,0.2905,0.000722367
11295,0.290392,0.000686036
11300,0.2905,0.000686292
11305,0.290464,0.000722278
11310,0.290319,0.000757967
11315,0.290139,0.000721469
11320,0.289922,0.00072093
11325,0.289706,0.000648433
11330,0.289453,0.000647869
11335,0.289345,0.000611685
11340,0.289273,0.000683393
11345,0.289201,0.000755047
11350,0.289129,0.000790756
11355,0.289021,0.000790461
11360,0.288877,0.000790067
11365,0.288734,0.000717975
11370,0.288662,0.00061024
11375,0.288877,0.000574809
11380,0.289165,0.000611305
11385,0.289165,0.000611305
11390,0.288913,0.00057488
11395,0.28841,0.000573879
11400,0.287872,0.000572809
11405,0.287443,0.000607663
11410,0.287049,0.000606831
11415,0.286799,0.000606303
11420,0.286763,0.000641848
11425,0.286835,0.000606378
11430,0.287013,0.0005711
11435,0.287121,0.000571313
11440,0.287192,0.000571455
11445,0.287264,0.000571598
11450,0.287264,0.000571598
11455,0.287407,0.000607587
11460,0.287478,0.000607739
11465,0.287443,0.000607663
11470,0.287335,0.00057174
11475,0.287156,0.000607058
11480,0.287013,0.000606756
11485,0.287085,0.000642567
11490,0.287121,0.000606983
11495,0.286978,0.000571029
11500,0.286763,0.000534973
11505,0.286407,0.000534308
11510,0.286193,0.000569467
11515,0.286122,0.000569325
11520,0.286335,0.000605322
11525,0.286728,0.000606152
11530,0.286942,0.000570958
11535,0.286978,0.000571029
11540,0.286942,0.000570958
11545,0.286978,0.000571029
11550,0.287013,0.000606756
11555,0.287228,0.000607209
11560,0.287335,0.000607436
11565,0.287478,0.000643448
11570,0.287514,0.000607814
11575,0.287478,0.000607739
11580,0.28755,0.00060789
11585,0.28755,0.00060789
11590,0.287514,0.000607814
11595,0.287371,0.000607512
11600,0.287049,0.000606831
11605,0.286656,0.000641608
11610,0.2863,0.00064081
11615,0.285979,0.000604569
11620,0.285695,0.000568475
11625,0.28541,0.000603366
11630,0.285233,0.000567556
11635,0.285268,0.000567627
11640,0.285233,0.000567556
11645,0.285055,0.000531786
11650,0.284878,0.000531455
11655,0.284771,0.000566638
11660,0.284807,0.000566709
11665,0.284949,0.000602391
11670,0.285162,0.000602841
11675,0.285481,0.000638978
11680,0.285695,0.000603968
11685,0.28573,0.000604043
11690,0.285623,0.000639296
11695,0.285446,0.000674351
11700,0.285197,0.00070918
11705,0.284913,0.000708475
11710,0.2847,0.000707946
11715,0.284488,0.000707417
11720,0.284346,0.000707065
11725,0.28424,0.000671503
11730,0.28424,0.0006362
11735,0.284346,0.000636438
11740,0.284452,0.000636675
11745,0.284452,0.000636675
11750,0.28424,0.000706801
11755,0.283922,0.000706009
11760,0.283569,0.000740342
11765,0.283216,0.000704254
11770,0.282934,0.000668417
11775,0.282793,0.000703203
11780,0.282793,0.000703203
11785,0.282828,0.000738409
11790,0.282863,0.000738501
11795,0.282863,0.000703378
11800,0.282828,0.00070329
11805,0.282723,0.000667918
11810,0.282582,0.000632488
11815,0.282406,0.00066717
11820,0.28216,0.000666589
11825,0.281844,0.000700843
11830,0.281599,0.000735198
11835,0.281318,0.000734467
11840,0.281108,0.000768819
11845,0.280898,0.000837981
11850,0.280794,0.000837668
11855,0.280794,0.000907361
11860,0.280863,0.000942435
11865,0.281003,0.00101262
11870,0.281143,0.001048
11875,0.281318,0.00104865
11880,0.281458,0.00104917
